Navio Ship,Cheg/Arrival d/m/y,Operaç Operat,Mercadoria Goods,Peso Weight
CL SHAOYANG,03/10/2025 07:00:00,EMB,ACUCAR A GRANEL,60000
GENEVAN TRADER,04/10/2025 07:00:00,EMB,ACUCAR A GRANEL,75000
DESERT MOON,04/10/2025 14:00:00,EMB,ACUCAR A GRANEL,55000
SOPHOCLES GRAECIA,08/10/2025 05:00:00,EMB,ACUCAR A GRANEL,75000
GRANDE AMBURGO,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600 1800
INTEGRADOR,01/10/2025,EMB,VEICULO,600
GRANDE TEMA,01/10/2025 01:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,5400 5400
GOODWOOD,02/10/2025,EMB,VEICULO,9800
FLORIDA HIGHWAY,03/10/2025,EMB,VEICULO,9800
MORNING CALYPSO,03/10/2025,EMB DESC,VEICULO VEICULO,185 200
BRASILIA HIGHWAY,05/10/2025,EMB,VEICULO,9800
GRANDE AMBURGO,05/10/2025 01:01:00,EMB,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600
MANON,05/10/2025 04:00:00,EMB,VEICULO,3885
LIBERTY,17/10/2025,EMB DESC,VEICULO VEICULO,1987 758
DOVER HIGHWAY,27/10/2025,EMB,VEICULO,9800
SKANDI ACHIEVER (REB),02/09/2025 22:30:00,EMB,CARGA GERAL,1
PARCEL DOS MEROS (REB),24/09/2025 07:40:00,EMB,CARGA GERAL,1
SEA1 ATLAS,24/09/2025 12:30:00,EMB,CARGA GERAL,1
CBO FLAMENGO,01/10/2025,EMB,CARGA GERAL,1000
CBO FLAMENGO,01/10/2025,EMB,CARGA GERAL,1
CBO FLAMENGO,01/10/2025,EMB,CARGA GERAL,1000
HOS REMINGTON,01/10/2025,EMB,CARGA GERAL,1
HOS REMINGTON,01/10/2025,EMB,CARGA GERAL,1
HOS TAURUS (REB),01/10/2025,EMB,CARGA GERAL,1
HOS TAURUS (REB),01/10/2025,EMB,GRAN.LIQUIDO NAO ESPECIF,1
JSD6000,01/10/2025,EMB,CARGA GERAL,1000
JSD6000,01/10/2025,EMB,CARGA GERAL,1
MANDRIÃO (REB),01/10/2025,EMB,CARGA GERAL,1
MANDRIÃO (REB),01/10/2025,EMB,CARGA GERAL,1
NORMAND MAXIMUS,01/10/2025,EMB,CARGA GERAL,1
PARCEL DOS MEROS (REB),03/10/2025,EMB,CARGA GERAL,1
HOS TAURUS (REB),20/10/2025,EMB,CARGA GERAL,1
SEA1 ATLAS,20/10/2025,EMB,CARGA GERAL,1
SKANDI ACHIEVER (REB),01/11/2025,EMB,CARGA GERAL,1
PINE ARROW,01/10/2025,EMB,PAPEL E CELULOSE,4000
COSCO SHIPPING RUYI,01/10/2025 03:30:00,EMB,PAPEL E CELULOSE,45800
COSCO SHIPPING RUYI,01/10/2025 06:00:00,EMB,PAPEL E CELULOSE,45800
CSPC ARIES,04/10/2025,EMB,PAPEL E CELULOSE,72000
RAVEN ARROW,04/10/2025 08:00:00,DESC,CARGA GERAL,3617
BBC NORFOLK,05/10/2025 06:00:00,DESC,PRODUTOS SIDERURGICOS,3152
RONNIE,05/10/2025 08:00:00,DESC,CARGA GERAL,210
ZHONG YUAN HAI YUN CHUANG,13/10/2025,EMB,PAPEL E CELULOSE,58000
AS CAROLINA,25/07/2025 10:30:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
CMA CGM BELEM,26/08/2025 22:30:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
JPO PISCES,13/09/2025 05:30:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
MSC SOFIA PAZ,26/09/2025 15:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,27000 1800
C HAMBURG,27/09/2025 10:30:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,27000 1800
AS SABINE,29/09/2025 18:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
MSC ATHENS,30/09/2025 09:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 18000
MSC NERISSA V,30/09/2025 11:24:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 1800
MSC AGADIR,30/09/2025 15:43:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,18000 1800
MSC AMALFI,30/09/2025 16:06:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 12600
CMA CGM AMAZONIA,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
CMA CGM BAHIA,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 4500
CMA CGM NIAGARA,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
CMA CGM VERACRUZ (REB S/L,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
COSCO SHIPPING CHILE,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,9000 3600
COSCO SHIPPING MEXICO,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,9000 3600
COSCO SHIPPING PERU,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,9000 3600
COSCO SHIPPING URUGUAY,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,9000 3600
ENSENADA,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 4500
EVER FEAT,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,19800 180
IRENES RESOLVE,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,2304 180
IRENES RULE,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,4464 2412
KOTA PAHLAWAN,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 12600
KOTA PURI,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 12600
LOG-IN JACARANDA,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200 7200
LOG-IN RESILIENTE (REB),01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200 7200
MAERSK JAIPUR,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
MAERSK LABREA,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
MAERSK RUBICON,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
MSC AVNI,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,27000 1800
MSC MADHU B,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,27000 1800
MSC VANESSA,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 14400
MUARA,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 12600
NC BREDA (REB S/L),01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,4500 6300
NYK FUTAGO,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,15300 9000
NZ SHANGHAI,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 12600
SAN MARCO MAERSK,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
SANTA INES,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
SJARD,01/10/2025,EMB,CONTEINERES CHEIOS,1044
