CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,Unnamed: 15_level_0
Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
MUARA,PANAMENHA,168 8,Long,01/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 12600,4416-2 2025,427892025,B,TECONDI,9216731,
NC BREDA (REB S/L),BRASILEIRA,224 5,Cabo,01/10/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,4500 6300,4236-4 2025,424482025,B,TECON,9612765,
NYK FUTAGO,SINGAPURENSE,267 12.5,Long,01/10/2025,,OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,15300 9000,3937-9 2025,393552025,B,EPORT 1/TECON 1,9487524,
NZ SHANGHAI,PANAMENHA,198 8,Long,01/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 12600,4409-6 2025,413822025,B,EPORT 1/TECON 1,9230232,
SAN MARCO MAERSK,DINAMARQUESA,333 9,Long,01/10/2025,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,2248-5 2025,225802025,B,EPORT 1/TECON 1,9622215,
SANTA INES,DINAMARQUESA,300 9,Long,01/10/2025,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,3621-1 2025,290682025,B,B.T.P. 1,9444845,
SJARD,ANTIGUANA,143 9.6,Long,01/10/2025,,OCEAN WORLD SHIPPING - AG MAR E OPER PORT. LTDA-EPP,EMB,CONTEINERES CHEIOS,1044,4398-4 2025,439502025,B,CODESP-TECONDI,9303314,
XIN CHANG SHA,CHINESA,263 11.5,Long,01/10/2025,,COSCO BRASIL S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,9000 3600,2801-6 2025,279352025,B,TECON,9312559,
XIN WEI HAI,CHINESA,263 12.4,Long,01/10/2025,,COSCO BRASIL S/A,EMB,CONTEINERES CHEIOS CONTEINERES CHEIOS,9000,4203-9 2025,422332025,B,TECON,9312573,
ZIM THAILAND,TAILANDESA,334 13,Long,01/10/2025,,ZIM DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,5400 5400,4458-7 2025,422482025,B,EPORT 1/TECON 1,9936513,
